comment,likes,time,author,clean_text,panjang_teks,jumlah_kata,sentimen,skor_sentimen,clean_topic,emotion,skor_emotion
Program mbg hanya untuk memperkenyang perut para elit koruptor ttup aja mbg abisin anggaran pajak rakyat,0,1 month ago,@IanIkhsan-fv2qj,program mbg hanya untuk memperkenyang perut para elit koruptor ttup aja mbg abisin anggaran pajak rakyat,104,16,negative,0.9989928603172302,program mbg kenyang perut elit koruptor ttup mbg abisin anggar pajak rakyat,anger,0.9601259827613831
MBG ltu program untuk mengamankan kursi 2029.,0,1 month ago,@suwardi3248,mbg ltu program untuk mengamankan kursi 2029.,45,7,neutral,0.9938563704490662,mbg ltu program aman kursi 2029,happy,0.37835830450057983
Makan gratis terus saja sampai ko suksesss nak😅,0,1 month ago,@etrymatutu6635,makan gratis terus saja sampai ko suksess nak,45,8,positive,0.9249025583267212,makan gratis terus ko suksess nak,happy,0.7441614270210266
apane menguntungkan petani dan peternak. Orang mayoritas malah impor dari luar. Atau bahan baku dari korporasi2 pabrik raksasa tertentu,0,1 month ago,@fahmiarofi4237,apane menguntungkan petani dan peternak. orang mayoritas malah impor dari luar. atau bahan baku dari korporasi2 pabrik raksasa tertentu,135,19,negative,0.9221552014350891,apane untung tani ternak orang mayoritas malah impor luar bahan baku korporasi2 pabrik raksasa tentu,anger,0.4690026640892029
"Bubarkan MBG...
bubarkan MBG
Bubarkan MBG...",0,1 month ago,@Athaya931,bubarkan mbg... bubarkan mbg bubarkan mbg...,44,6,negative,0.99403977394104,bubar mbg bubar mbg bubar mbg,anger,0.7757551074028015
"Rakyat itu dah tahu bahwa program MBG itu membawa hal negatip dan negatip...
Dan TDK menguntungkan rakyat..
Malah menjadi beban rakyat.
itupun yg di untungkan orang kaya dan pejabat aja..
Lihat aja dan semakin secara detail...
Yang kaya semakin kaya..
Dan itupun akan membawa dampak hancurnya ekonomi Indonesia...
Hampir 85% rakyat menolak adanya MBG..
Karena bikin susah dan resah kepada rakyat..
Bubarkan MBG..",0,1 month ago,@Athaya931,rakyat itu dah tahu bahwa program mbg itu membawa hal negatif dan negatip... dan tidak menguntungkan rakyat.. malah menjadi beban rakyat. itupun yang di untungkan orang kaya dan pejabat aja.. lihat aja dan semakin secara detail... yang kaya semakin kaya.. dan itupun akan membawa dampak hancurnya ekonomi indonesia... hampir 85% rakyat menolak adanya mbg.. karena bikin susah dan resah kepada rakyat.. bubarkan mbg..,416,63,negative,0.9989973902702332,rakyat dah tahu program mbg bawa negatif negatip untung rakyat malah jadi beban rakyat itu untung orang kaya jabat aja lihat makin detail kaya makin kaya itu bawa dampak hancur ekonomi indonesia hampir 85 rakyat tolak ada mbg bikin susah resah rakyat bubar mbg,anger,0.6991701126098633
Mbg bisnis para orang orang berduwit.,0,1 month ago,@AldiyusufPurnama,mbg bisnis para orang orang berduwit.,37,6,negative,0.4927805960178375,mbg bisnis orang orang berduwit,anger,0.5874185562133789
Mbg. Proyek. Korupsi.   Gila. Gilaan   stop. Lah. Uang. Rakyat. Hasil. Pajak,0,1 month ago,@AsepBasit-jb2jd,mbg. proyek. korupsi. gila. gilaan stop. lah. uang. rakyat. hasil. pajak,72,11,negative,0.9987326264381409,mbg proyek korupsi gila gila stop lah uang rakyat hasil pajak,anger,0.9432852268218994
"Bagi rakyat MBG itu di nilai negatip...
karena MBG suatu yg sangat merugikan rakyat...
Dan yg di untungkan cuma orang kaya dan pejabat...
Ini menjadikan suatu bisnis dan proyek yg di berikan pemerintah tapi cuma orang kaya dan pejabat...
Rakyat kecil cuma jadi penonton dan pendengar...
Tapi dampak dari MBG besar sekali...
1.Menguras anggaran yg sangat besar.
2..merugikan rakyat kecil.
3.Tidak manfaatnya.
4. bahan pokok naik.
5.Pendidikkan di asingkan.
6.Kesehatan juga di kalahkan.
7. Dan masih banyak dampak dari MBG...
Padahal gak pada di makan, masih menguras anggaran.
Itupun yg di untungkan orang kaya dan pejabat..
Pemerintah koclok dan koclok...gak di pikir matang matang...
Ini suatu kegagalan dalam pemerintah saat ini....
Bubarkan MBG...",0,1 month ago,@Athaya931,"bagi rakyat mbg itu di nilai negatip... karena mbg suatu yang sangat merugikan rakyat... dan yang di untungkan cuma orang kaya dan pejabat... ini menjadikan suatu bisnis dan proyek yang di berikan pemerintah tapi cuma orang kaya dan pejabat... rakyat kecil cuma jadi penonton dan pendengar... tapi dampak dari mbg besar sekali... 1.menguras anggaran yang sangat besar. 2..merugikan rakyat kecil. 3.tidak manfaatnya. 4. bahan pokok naik. 5.pendidikkan di asingkan. 6.kesehatan juga di kalahkan. 7. dan masih banyak dampak dari mbg... padahal tidak pada di makan, masih menguras anggaran. itupun yang di untungkan orang kaya dan pejabat.. pemerintah koclok dan koclok...gak di pikir matang matang... ini suatu kegagalan dalam pemerintah saat ini.... bubarkan mbg...",763,113,negative,0.9985421895980835,rakyat mbg nilai negatip mbg suatu sangat rugi rakyat untung cuma orang kaya jabat jadi suatu bisnis proyek ikan perintah cuma orang kaya jabat rakyat kecil cuma tonton dengar dampak mbg besar sekali 1 uras anggar sangat besar 2 rugi rakyat kecil 3 tidak manfaat 4 bahan pokok naik 5 didik asing 6 sehat kalah 7 banyak dampak mbg padahal makan uras anggar itu untung orang kaya jabat perintah koclok koclok gak pikir matang matang suatu gagal perintah ini bubar mbg,anger,0.8550374507904053
"Awalnua bagus sihh rencananya tapi saat di jalankan mulai lahh sifat penjajah aslinya muncul para pegusaha yg niatnya untuk memutar ekonomi rakyat bawah nyatanya semua belanjaan berkerja sama dengan pengusaha lain bukan mengambil dari lokasi berdirinya MBG, yg awalnya juga membuka lapangan kerja nyatanya hanya untuk orang terdekat yg mendirikan MBG, yg awalnya tentang gizi sekarang menyebar sampai ke kendaraan operasional di saat badan pemerintah dan badan negara lainnya yg harus mengerem pengeluaran/ efisiensi, harus nya ada tim audit dari negara yg mengecek apakah dana tersalurkan dengan benar atau ada permainan😊 kalau ada permainan di dalam saya harap semua transparan kepada masyarakat jangan biarkan  penjajah muncul dari bangsa sendiri😊",0,1 month ago,@pa4893,"awalnua bagus sihh rencananya tapi saat di jalankan mulai lahh sifat penjajah aslinya muncul para pegusaha yang niatnya untuk memutar ekonomi rakyat bawah nyatanya semua belanjaan berkerja sama dengan pengusaha lain bukan mengambil dari lokasi berdirinya mbg, yang awalnya juga membuka lapangan kerja nyatanya hanya untuk orang terdekat yang mendirikan mbg, yang awalnya tentang gizi sekarang menyebar sampai ke kendaraan operasional di saat badan pemerintah dan badan negara lainnya yang harus mengerem pengeluaran efisiensi, harus nya ada tim audit dari negara yang mengecek apakah dana tersalurkan dengan benar atau ada permainan kalau ada permainan di dalam saya harap semua transparan kepada masyarakat jangan biarkan penjajah muncul dari bangsa sendiri",758,109,negative,0.6591941118240356,awalnua bagus sihh rencana jalan mulai lahh sifat jajah asli muncul pegusaha niat putar ekonomi rakyat bawah nyata semua belanja kerja sama usaha bukan ambil lokasi diri mbg awal buka lapang kerja nyata orang dekat diri mbg awal gizi sekarang sebar kendara operasional badan perintah badan negara lain rem keluar efisiensi tim audit negara ecek dana salur benar main main harap semua transparan masyarakat jangan biar jajah muncul bangsa sendiri,sadness,0.5251240134239197
Ngotot mbg karena tak bisa dengar lihat dan mikir jeritan  rakyat,0,1 month ago,@CahyaSaputra-c7t,ngotot mbg karena tidak bisa dengar lihat dan mikir jeritan rakyat,66,11,negative,0.9987125396728516,ngotot mbg dengar lihat mikir jerit rakyat,anger,0.787568211555481
Aneh program persiden emangtidakada kerjaan?ujug ujug bikin dapur nasional emang rayat yangmana yansedang kelaparan? Inimah kerjaan anak SD anehhh😂,0,1 month ago,@DaskamsumartoDaskam,aneh program persiden emangtidakada kerjaan ujug ujug bikin dapur nasional memang rayat yangmana yansedang kelaparan inimah kerjaan anak sd anehh,145,20,negative,0.9934013485908508,aneh program persiden emangtidakada kerja ujug ujug bikin dapur nasional memang rayat yangmana yansedang lapar inimah kerja anak sd anehh,anger,0.8414518237113953
Gue mau para pekerja mbg gak ikut pemilu. Kalo ikut pemilu jelas mereka akan memilih prabowo lagi karena kalo enggak mereka akan kehilangan pekerjaan dan hal ini jadi membuat pemilu besok gak demokratis lagi,0,1 month ago,@turtelepratama6112,saya mau para pekerja mbg tidak ikut pemilu. kalau ikut pemilu jelas mereka akan memilih prabowo lagi karena kalau tidak mereka akan kehilangan pekerjaan dan hal ini jadi membuat pemilu besok tidak demokratis lagi,213,34,negative,0.9983200430870056,mau kerja mbg ikut milu ikut milu jelas pilih prabowo hilang kerja buat milu besok demokratis,anger,0.5622857213020325
Bapak ibu Dewan² perwakilan Pada kemana ini... Kok gak ada yang bersuara,0,1 month ago,@BaLuGu_99,bapak ibu dewan perwakilan pada kemana ini... kok tidak ada yang bersuara,73,12,negative,0.9890992641448975,bapak ibu dewan wakil ini kok suara,anger,0.7256917953491211
Terbesar dan terbusuk dan terbodoh dari rezim prabowo....,0,1 month ago,@suparyanto985,terbesar dan terbusuk dan terbodoh dari rezim prabowo....,57,8,negative,0.99577397108078,besar busuk bodoh rezim prabowo,anger,0.5208044648170471
"Sayang sekali uang ratusan terliun hanya jaditai, ini mau niru cerita nabi sulaiman yg mau memberi semua mahluk, tapi kalau nabi pake duit sendiri dan pada akhirnya dia juga angkat tangan",0,1 month ago,@azam2241,"sayang sekali uang ratusan terliun hanya jaditai, ini mau niru cerita nabi sulaiman yang mau memberi semua mahluk, tapi kalau nabi pake duit sendiri dan pada akhirnya dia juga angkat tangan",189,31,negative,0.9931913018226624,sayang sekali uang ratus terliun jaditai mau niru cerita nabi sulaiman mau beri semua mahluk nabi pake duit sendiri akhir angkat tangan,sadness,0.5430886149406433
"Kampanye ""food waste"" sekarang malah terkendala dengan adanya makanan sisa embege. Berapa ompreng yg tersisa gara2 penerima manfaat tidak mau menghabiskannya 🙄",0,1 month ago,@boimbaelah,kampanye food waste sekarang malah terkendala dengan adanya makanan sisa embege. berapa ompreng yang tersisa gara2 penerima manfaat tidak mau menghabiskannya,157,21,negative,0.9927757978439331,kampanye food waste sekarang malah kendala ada makan sisa embege berapa ompreng sisa gara2 terima manfaat mau habis,sadness,0.6899109482765198
"langsung cepetin speed nya 1,5 x 😅",0,1 month ago,@FaidzinFirdhaus,"langsung cepetin speed nya 1,5 x",32,6,negative,0.579248309135437,langsung cepetin speed 1 5 x,happy,0.5480416417121887
Napa di sekolah ku belum ada😢,1,1 month ago,@CobaLagiplay,napa di sekolah ku belum ada,28,6,negative,0.9058190584182739,napa sekolah ku,sadness,0.7037944197654724
"Jdi beban negara ,bahan baku setiap tahun harga naik dan tidak mungkin akan cukup dg 15rb ,qrtinya beban anggaran akan naik dan jadi beban berat ,itu kenapa banyak paorsi yg tidak standar gizi ,ujung ujung nya stanting takan teratasi.",0,1 month ago,@tangtaryana87,"jadi beban negara ,bahan baku setiap tahun harga naik dan tidak mungkin akan cukup dengan 15 ribu ,qrtinya beban anggaran akan naik dan jadi beban berat ,itu kenapa banyak paorsi yang tidak standar gizi ,ujung ujung nya stanting takan teratasi.",244,40,negative,0.9779462814331055,beban negara bahan baku tahun harga naik mungkin cukup 15 ribu qrtinya beban anggar naik beban berat itu banyak paorsi standar gizi ujung ujung stanting tak atas,sadness,0.43627816438674927
Yg dimakan para murid 20% peralatan 20% 60% buat bancakan rebutan para maling,0,1 month ago,@adxnt8370,yang dimakan para murid 20% peralatan 20% 60% untuk bancakan rebutan para maling,80,13,negative,0.9815654754638672,makan murid 20 alat 20 60 bancak rebut maling,anger,0.6106919646263123
BOHONG PAK PRABOWO KARENA SETIAP KECAMATAN HAMPIR ADA 25 TITIK DAPUR YANG ACC OLEH KEPALMPG PUSAT KARENA DI KASIH UANG SEDANGKAN SASARAN SISWA SANGAT TERBATAS AHIRNYA DALING JARAH MENJARAH UANG LEMAH GAK MAU RIBUT MENYERAH APA ADANYA AHIRNYA KWALITASNYA RENDAH KARENA SEMUA DI ACC YANG PENTING ADA SETORAN KE PUSAT,0,1 month ago,@PadisPadis-l7l,bohong bapak prabowo karena setiap kecamatan hampir ada 25 titik dapur yang acc oleh kepalmpg pusat karena di kasih uang sedangkan sasaran siswa sangat terbatas ahirnya daling jarah menjarah uang lemah tidak mau ribut menyerah apa adanya ahirnya kwalitasnya rendah karena semua di acc yang penting ada setoran ke pusat,318,50,negative,0.998741090297699,bohong bapak prabowo camat hampir 25 titik dapur acc kepalmpg pusat kasih uang sasar siswa sangat batas ahirnya daling jarah jarah uang lemah mau ribut serah apa ada ahirnya kwalitasnya rendah semua acc penting setor pusat,anger,0.8666986227035522
"Program bagi2 jatah korupsi.....lihat aj pengadaan motor listrik yg 1,2t, bhkan mntri keuangan aj gk tau ujug2 barangnya nongol dg anggaran 1,2t, trus pengdaan kaos kaki dll, hnya bagi2 duit",0,1 month ago,@suharlisawir2848,"program bagi2 jatah korupsi.....lihat aj pengadaan motor listrik yang 1,2 triliun, bhkan mntri keuangan aj tidak tau ujug2 barangnya nongol dengan anggaran 1,2 triliun, trus pengdaan kaos kaki dll, hnya bagi2 duit",213,32,negative,0.9540504813194275,program bagi2 jatah korupsi lihat aj ada motor listrik 1 2 triliun bhkan mntri uang aj tau ujug2 barang nongol anggar 1 2 triliun trus pengdaan kaos kaki dll hnya bagi2 duit,anger,0.8668785095214844
Percuma mengkritik menghujat orang tak bermoral,0,1 month ago,@CahyaSaputra-c7t,percuma mengkritik menghujat orang tidak bermoral,49,6,negative,0.9987483024597168,percuma kritik hujat orang moral,anger,0.8240574598312378
7 presiden  rakyat tidak hidup sengsara setelah Prabowo jadi presiden rakyat hidupnya makin sengsara,0,1 month ago,@CahyaSaputra-c7t,7 presiden rakyat tidak hidup sengsara setelah prabowo jadi presiden rakyat hidupnya makin sengsara,99,14,negative,0.992590069770813,7 presiden rakyat hidup sengsara prabowo presiden rakyat hidup makin sengsara,anger,0.7135541439056396
"MBG proyek tahan malu,  terlanjur janji omon2 sambil ngibulin 58% yg malas berpikir cerdas.",0,1 month ago,@Arif.Prasetyo-it8qv,"mbg proyek tahan malu, terlanjur janji omon2 sambil ngibulin 58% yang malas berpikir cerdas.",92,14,negative,0.9967436790466309,mbg proyek tahan malu lanjur janji omon2 ngibulin 58 malas pikir cerdas,anger,0.7910945415496826
Bukan MBG tapi MUPR (makanan uang pajak rakyat),0,1 month ago,@Majups,bukan mbg tapi mupr makanan uang pajak rakyat,45,8,neutral,0.5475147366523743,bukan mbg mupr makan uang pajak rakyat,anger,0.7235752940177917
"Kalau maha siswa anaknya orang mudah cari makan, jadi. Nggak bingung",0,1 month ago,@BapakKrawan,"kalau maha siswa anaknya orang mudah cari makan, jadi. tidak bingung",68,11,negative,0.5135059356689453,maha siswa anak orang mudah cari makan jadi bingung,happy,0.6752659678459167
Saya pernah tidak makan. Mulai pagi sampai sore ikut gerak jalan tumpang Malang sampai pagi baru diberi makan badan sampai dredek ya karena saya anaknya orang nggak punya,0,1 month ago,@BapakKrawan,saya pernah tidak makan. mulai pagi sampai sore ikut gerak jalan tumpang malang sampai pagi baru diberi makan badan sampai dredek ya karena saya anaknya orang tidak punya,170,28,negative,0.911565363407135,pernah makan mulai pagi sore ikut gerak jalan tumpang malang pagi baru beri makan badan dredek anak orang punya,sadness,0.6940577030181885
Makan Dibarak TNI itu lo banyak yang iri hati pemasak apalagi MBG,0,1 month ago,@BapakKrawan,makan dibarak tni itu kamu banyak yang iri hati pemasak apalagi mbg,67,12,negative,0.9987664222717285,makan barak tni kamu banyak iri hati masak mbg,anger,0.7661628723144531
Tidak semua anak pagi bisa makan ada anak Mts negri rejoso Pasuruan ibunya  tidak punya pekerjaan nenek jual kue ditaruh di warung itu lo bisa sekolah,0,1 month ago,@BapakKrawan,tidak semua anak pagi bisa makan ada anak mts negri rejoso pasuruan ibunya tidak punya pekerjaan nenek jual kue ditaruh di warung itu kamu bisa sekolah,151,26,negative,0.7799564003944397,semua anak pagi makan anak mts negri rejoso pasuruan ibu punya kerja nenek jual kue taruh warung kamu sekolah,sadness,0.5024451613426208
Sebagai petani saya setuju dgn program mbg karena bisa menyerap hasil dari pertanian terutama sayur dan buah. Intinya yang penting Brantas tuntas para koruptor. Jika pemerintah berhasil memberantas korupsi jangankan mbg untuk para siswa seluruh WNI dikasih mbg pun ada kok uang. Indonesia banyak hutang bukan karna indonesia miskin tp krna pejabatnya banyak yang korup.,0,1 month ago,@RanggaNaufalino,sebagai petani saya setuju dengan program mbg karena bisa menyerap hasil dari pertanian terutama sayur dan buah. intinya yang penting brantas tuntas para koruptor. jika pemerintah berhasil memberantas korupsi jangankan mbg untuk para siswa seluruh wni dikasih mbg pun ada kok uang. indonesia banyak hutang bukan karna indonesia miskin tapi karena pejabatnya banyak yang korup.,376,55,negative,0.887660026550293,tani tuju program mbg serap hasil tani utama sayur buah inti penting brantas tuntas koruptor perintah hasil berantas korupsi jangan mbg siswa seluruh wni kasih mbg kok uang indonesia banyak hutang bukan karna indonesia miskin jabat banyak korup,anger,0.6648757457733154
"program MBG ini program yg sangat TDK berguna bagi rakyat banyak...
sebetulnya ini program gagal...tapi kok masih di pertahankan...
presidennya sampai GK memperdulikan, bahwa MBG itu sangat membahayakan nyawa anak didik di Indonesia...
Bubarkan MBG...",1,1 month ago,@Athaya931,"program mbg ini program yang sangat tidak berguna bagi rakyat banyak... sebetulnya ini program gagal...tapi kok masih di pertahankan... presidennya sampai tidak memperdulikan, bahwa mbg itu sangat membahayakan nyawa anak didik di indonesia... bubarkan mbg...",258,35,negative,0.9976202845573425,program mbg program sangat guna rakyat banyak program gagal tapi kok tahan presiden duli mbg sangat bahaya nyawa anak didik indonesia bubar mbg,anger,0.8826523423194885
