comment,likes,time,author
"Kampanye ""food waste"" sekarang malah terkendala dengan adanya makanan sisa embege. Berapa ompreng yg tersisa gara2 penerima manfaat tidak mau menghabiskannya 🙄",0,1 month ago,@boimbaelah
"langsung cepetin speed nya 1,5 x 😅",0,1 month ago,@FaidzinFirdhaus
Napa di sekolah ku belum ada😢,1,1 month ago,@CobaLagiplay
"Jdi beban negara ,bahan baku setiap tahun harga naik dan tidak mungkin akan cukup dg 15rb ,qrtinya beban anggaran akan naik dan jadi beban berat ,itu kenapa banyak paorsi yg tidak standar gizi ,ujung ujung nya stanting takan teratasi.",0,1 month ago,@tangtaryana87
Yg dimakan para murid 20% peralatan 20% 60% buat bancakan rebutan para maling,0,1 month ago,@adxnt8370
BOHONG PAK PRABOWO KARENA SETIAP KECAMATAN HAMPIR ADA 25 TITIK DAPUR YANG ACC OLEH KEPALMPG PUSAT KARENA DI KASIH UANG SEDANGKAN SASARAN SISWA SANGAT TERBATAS AHIRNYA DALING JARAH MENJARAH UANG LEMAH GAK MAU RIBUT MENYERAH APA ADANYA AHIRNYA KWALITASNYA RENDAH KARENA SEMUA DI ACC YANG PENTING ADA SETORAN KE PUSAT,0,1 month ago,@PadisPadis-l7l
"Program bagi2 jatah korupsi.....lihat aj pengadaan motor listrik yg 1,2t, bhkan mntri keuangan aj gk tau ujug2 barangnya nongol dg anggaran 1,2t, trus pengdaan kaos kaki dll, hnya bagi2 duit",0,1 month ago,@suharlisawir2848
SeBERGIZI apa MBG?,0,1 month ago,@prayogi5396
beban negara,0,1 month ago,@Vazo808x
Percuma mengkritik menghujat orang tak bermoral,0,1 month ago,@CahyaSaputra-c7t
7 presiden  rakyat tidak hidup sengsara setelah Prabowo jadi presiden rakyat hidupnya makin sengsara,0,1 month ago,@CahyaSaputra-c7t
"MBG proyek tahan malu,  terlanjur janji omon2 sambil ngibulin 58% yg malas berpikir cerdas.",0,1 month ago,@Arif.Prasetyo-it8qv
"MBG proyek tahan malu,  terlanjur janji omon2 sambil ngibulin 58% yg malas berpikir cerdas.",0,1 month ago,@Arif.Prasetyo-it8qv
Bukan MBG tapi MUPR (makanan uang pajak rakyat),0,1 month ago,@Majups
"Kalau maha siswa anaknya orang mudah cari makan, jadi. Nggak bingung",0,1 month ago,@BapakKrawan
Saya pernah tidak makan. Mulai pagi sampai sore ikut gerak jalan tumpang Malang sampai pagi baru diberi makan badan sampai dredek ya karena saya anaknya orang nggak punya,0,1 month ago (edited),@BapakKrawan
Makan Dibarak TNI itu lo banyak yang iri hati pemasak apalagi MBG,0,1 month ago,@BapakKrawan
Tidak semua anak pagi bisa makan ada anak Mts negri rejoso Pasuruan ibunya  tidak punya pekerjaan nenek jual kue ditaruh di warung itu lo bisa sekolah,0,1 month ago,@BapakKrawan
Sebagai petani saya setuju dgn program mbg karena bisa menyerap hasil dari pertanian terutama sayur dan buah. Intinya yang penting Brantas tuntas para koruptor. Jika pemerintah berhasil memberantas korupsi jangankan mbg untuk para siswa seluruh WNI dikasih mbg pun ada kok uang. Indonesia banyak hutang bukan karna indonesia miskin tp krna pejabatnya banyak yang korup.,0,1 month ago,@RanggaNaufalino
"program MBG ini program yg sangat TDK berguna bagi rakyat banyak...
sebetulnya ini program gagal...tapi kok masih di pertahankan...
presidennya sampai GK memperdulikan, bahwa MBG itu sangat membahayakan nyawa anak didik di Indonesia...
Bubarkan MBG...",1,1 month ago,@Athaya931
"fun fact: dasar hukum pelaksanaan MBG yaitu Perpres Nomor 83 Tahun 2024 tentang Badan Gizi Nasional (BGN), yang mana yang menetapkan peraturan tersebut adalah Pria Solo (bisa dicek sendiri di JDIH)",0,1 month ago (edited),@virdiawanip2278
Program TAINISASI,0,1 month ago,@AzamAzamsyahputra
"Waktu dia masih jadi aktif tentara ajah banyak yg ngk mau kalau dia menjabat pangkat tinggi karena ngk mau mendengarkan nasihat orang lain , nah skrg udah pada kerasa kan gimana keras kepala nya nih orang setelah menjadi orang no 1 di indonesia
Gusdur ajah bilang kalau dia itu ngk boleh di kasih kekuasaan",1,1 month ago,@immanuelpurba7271
"Atasi stunting koh MBG anak sekolah,  kuliah di mana ya...",0,1 month ago,@igirpuntuk8038
PROGRAM MENGGARONG UANG RAKYAT,0,1 month ago,@ismadi471
Selanjutnya tolong bahas dan teliti tentang koperasi merah putih buk,0,1 month ago (edited),@ash8149-d9s
"Kalau saya mbg merusak UKM
Dan melambung nya sayuran",0,1 month ago,@MSNOODLE-m4n
Tutup neres,0,1 month ago,@HardiyantoWsb
"2:07 miliar apa triluan nih gak masuk anggal anggaran 268 triluan bukan negara Amerika,",0,1 month ago,@elzafadli2764
Banyak orang gila.,0,1 month ago,@supenoeno8255
"SEKOLAH BANGUNAN JELEK
DAPUR MBG BAGAI VILLA
JEPANG MAJU KARENA ILMU PENGETAHUAN, IRAN MENYUSUL DENGAN TEKNOLOGI
INDONESIA DENGAN MBG, ITU JUGA DIKORUPSI GAK SESUAI NOMINALNYA
IDE T0L0L SIAPA ITU?
🤣🤣🤣",0,1 month ago,@khabibnurmagomedov3682
MBG ladang korupsi atas Nama Negara,0,1 month ago,@budisukahar-q6k6j
Kangen rocky gerung 😅😅😅...,0,1 month ago,@chanelapaajaboleh9637
"MBG ladang kurupsi,pintar menciptakan ladang kurupsi.",0,1 month ago,@Dedi-h7o
"Tidak ada maanfaat sama sekali.....

Mendingan dana mbg itu untuk guru guru yang mengajar gaji yg tidak sesuai.....

Guru itu napasnya indonesia...tanpa guru dunia tidak akan berkembang",0,1 month ago,@muhammadiqbalkopong3448
"Semoga cma pas wowo menjabat aja, selesai jd persiden,bubarin,😢 semoga sblm selesai pemilu bubarin aj, kebanyakan mendarat nya",0,1 month ago,@harisfauzi8516
"MBG ini yha untuk kamu dan yang kamu percaya yaitu si kepala BOTAK untuk menjalankan korupsi secara terang terangan, kan masih ada lagi yang direkayasa yang ada kaitanya MBG untuk bisa dikorupsi, inilah pemimpin kita yang sangat rakus.",0,1 month ago (edited),@Junaedi-u1x
"Fakta korupsi, udah se gede megalodonpun tetap bakal dibela sama prabowo, ingat yg ga ngedukung MBG adalah antek"" asing😅😅😅",0,1 month ago,@angeldewi85
Tdk akan pernah puas apa yg di lakukan pemerintah bagi penghianat bangsa dan pembenci yg g suka lihat negara sendiri berkembang atau maju😏 untuk pak Prabowo dan pemerintah semangat terus berjuang untuk rakyat💪🇮🇩👍,0,1 month ago,@ummamahevintasaupan2765
"MBG itu potret ketidakmampuan pemerintah dalam memperbaiki perekonomian negara. Seolah2 masyarakat dikasih lihat, negara Indonesia ini sejak dibawah pemerintahan prabowo hebat Indonesia bisa memberikan makan bergizi gratis, ekonomi Indonesia surplus. Semuanya dgn cara membelanjakan uang pajak rakyat😂. Dan itu disebut makan bergizi gratis 😂. Disamping itu pemerintah gak mau ngurusin investasi yang menurun dan lapangan kerja yang sedikit, pemerintah selalu mengelak kalo itu semua karena angkatan kerja Indonesia yg tidak kompeten.",0,1 month ago (edited),@InNdraiyud
"Betul tuh min ngomu, jika masa perang dunia 3 yang menolak food estate dan MBG akan diberlakukan seperti kampanye patriotic grow inggris masa perang dunia 2 nanti di lapangan sepakbola, trotoar bahkan balkon untuk tanam sendiri",0,1 month ago,@adita6572
"kalian bisa ngebayangin ga ? 
duit judol ribuan triliun kalau langsung di sita bakal seheboh apa ?
nah ini cara halusnya 
rapi , terlihat dermawan dan duit landing dengan aman 😂,",0,1 month ago,@ANONCXTYU
MBG Baik hanya sedikit tidak masuk akal. Hanya menerapkan kebijakan Tidak ada reset mendalam. CARI MITRA DALAM PENGELOLAAN PUTAR RODA EKONOMI SECARA MAKSIMAL LELANG UNTUK MENGOLOA MBG SECARA INDIVENDEN,0,1 month ago,@SawiChibi
"najis pilih wowo lagi,gara2 MBG harga pada mahal,ekonomi menengah k bawah menjerit.perputaran uang cuma dari pemilik MBG grosir ke atas,pasar sama warung mah,cuma nonton ke tololan prabowo.",0,1 month ago,@mozagege44
"Proyek orang gede, yang miskin makin terjepit...",0,1 month ago,@Tirta260189
Waw luar binasa 🎉😂,0,1 month ago,@rinahrinah3462
"MBG adalah beban negara, lebih baik di hapus saja",0,1 month ago,@AhmadCarita-xx3qv
"katanya tujuan MBG salah satunya adalah penurunan angka stunting. Setahu saya, stunting itu bisa terjadi sejak anak masih dalam kandungan ibunya hingga balita, dan sudah seharusnya  MBG ini sebagian besar fokusnya adalah di sektor kesehatan pada balita, ibu hamil, dan menyusui. fokus ke situ, dan untuk anak-anak sekolah bisalah dipilah dan dipilih mana yang yang paling memerlukan, sehingga lebih tepat sasaran dan hemat anggaran sehingga porsi makanan yang diberikan bisa lebih berkualitas. dan kalau katanya untuk sektor ekonomi/ UMKM, kayaknya SPPG sudah punya ""kontrak"" khusus dengan penyedia bahan baku makanannya yang mau diajak kerja sama. artinya sudah ""dimonopoli"" oleh satu pihak/penjual",0,1 month ago,@heriberbagi029
"mbg gak ada manfaat nya mbg program maling, koruptor, program gagal, cepat 5 th, trus ganti persiden yg bisa melepaskan rakyat dari kemiskinan dan memberantas koruptor yg menjamur di pemerintah han Indonesia",0,1 month ago,@rozak-u2z
"Percuma mau 300jt rakyat teriaak stop MBG tiap hari, kalo DPR nya diem aja ga ada yg mewakili suara rakyat. Sudah busuk dari dalem pemerintahannya. Masa pemerintahan ga ada oposisi sama sekali? Dan rakyat jg diem aja ga punya daya ga bs protes turun ke jalan. Tinggal tunggu kehancuran kah?",0,1 month ago,@gRacieBerry89
Di tempatku tinggal aja. Gak ada MBG MBG an.,0,1 month ago,@zani-vv1vm
"Anggaran negara abis di korup sama pejabat ,Bawak Bawak nama MBG untuk menghilangkan dalangnya,",0,1 month ago,@RikoArdiansyah-y1r
"Harus lebih banyak belajar nya dri pada makannya, makan bergizi nggk salah, di luar negeri makan bergizi itu ada tpi dapur nya itu di skolah di kelola di skolah, klo dapur nya di luar kemungkinan besar di korup yaa ada",0,1 month ago,@muhammadsyaiful13
"makanya kalau tujuannya meningkatkan ekonomi rakyat dan juga untuk meningkatkan gizi anak. cukup 
1. gunakan kantin sekolah. buat menu tetap ke kantin (pesanana). nominal pembelian adalah nominal normal harga beli disetiap daerah. kantin akan belanja di pasar. 
mekanisme pengawasan dari pihak MBG dan sekolah secara langsung, bukan sistem tender, melainkan sistem belanja sekolah secara nyata di lingkungan sekolah. dampaknya jelas ke seluruh jaringan masyarakat. dan untuk pengawasan tidak tercentral melainkan terjadi dari berbagai pihak. dan keikut sertaan sekolah dalam peran menjaga kualitas akan sangat penting mengingat merekalah yang mengetahui anak secara langsung jadi misalkan ada anak yang alergi makanan tertentu akan disesuaikan menunya dengan kebutuhan anak. hal ini akan semakin padu karena data hadir tidak hanya dari pusat, tapi bahkan dari tenaga pendidik dilapangan. 
kalau tujuannya bukan sebatas memelihara kantong suara untuk masa depan pemimpinnya.",0,1 month ago,@AdiYTWord
"Bagi petani pun tidak berdampak karna mereka belinya pun dari suplayer besar bukan dari petani kecil, terus dapur sppg juga beli bahan baku dg harga murah tapi sama mereka di markup harga di nota nya",0,1 month ago,@asepagungofficial
Bukan penggerak ekonomi rakyat tapi penggerak ekonomi pemilik dapur,0,1 month ago,@asepagungofficial
Badan ngrampok duit rakyat kere,0,1 month ago,@ariwibowo7922
"menurut gw MBG itu bukan investasi untuk masa depan anak bangsa, tapi MBG itu investasi untuk rezim atau kelompok tertentu untuk mendapatkan lebih banyak suara di periode selanjutnya",1,1 month ago,@ripandarimars
Pemilihan presiden masih lama ya ?,0,1 month ago,@dimashekmatyar1439
"Setelah tau program ini jadi ajang korup masal, sejak saat itu juga ayah sama abang ga mau lagi suplai semangka dan melon ke mereka.
Alhasil mereka nyari buah buahan sampe keluar daerah..😂",0,1 month ago,@nurrifdah7193
"pemilik dapur sppg setahu saya hanya milik orang yg punya koneksi ke partai pemenang, kemudian belanja kebutuhan sppg ratarata langsung ke distributor, sama ke penjual partai besar,, pedagang kecil gak dapat manfaat dari progam ini",0,1 month ago,@NurBasyar
Penggerak ekonomi masyarakat kau kasih dana langsung ke masyarakat,0,1 month ago,@Timbul-g2w
"Proyek kurang ajar, sudah seharusnya prabowo di turunkan",0,1 month ago,@Timbul-g2w
"Anak2 dikasih makan 1x sehari dengan nilai 10k-8k, tapi orang tua menghadapi inflasi bahan pokok. bahkan ayam naik 10k/kg, lebih besar tanggungan inflasi dari pada nilai makan bergizi yang cuma 1x, entahlah mereka mikir atau tidak",0,1 month ago (edited),@isee5599
"Terimakasih sudah memberikan edukasi, smoga banyak masyarakat sadar",0,1 month ago,@alfazzachanel4064
"Dari duit segitu banyaknya dripada dikorupsi para elit ,ya mending di salurkan ke rakyat menengah kebawah lahh.. ada pekerjaan para bocah bisa makan bergizi. Yaa cumaitu pelaksanaannya diperbaiki lg.",1,1 month ago,@YusufAbzul
ladang korupsi baru,0,1 month ago,@auliarisky7
Bukan untuk rakyat tapi bisnis para pejabatnya😂,0,1 month ago,@helmifajar138
Komen gue sama kek kalian. Thanks udah speak up,0,1 month ago,@saifuzzuhri6272
ini lo orang butak yg ngeyel mslh  mbg ruweet ni malh beri montor pegawe rakyat susah,0,1 month ago,@mbahronggo3960
"Walaupun anak saya dua duanya dapat jatah MBG tapi saya tidak setuju dengan adanya MBG,sebab sangat tidak berpengaruh dalam kehidupan ekonomi keluarga saya,nyatanya uang saku anak anak saya tetap walaupun dapat jatah makan siang dr MBG.lebih baik MBG di hentikan dan dialihkan ke pendidikan gratis.",0,1 month ago (edited),@suliswanto3714
"BKN gratis Rkyt yg byr MBG tmpt Sarang Koropsi makin lama makin GK karuwan Nasi basi , LELE mentah dikshkan Otak jeblok MBG hrs di hentikan lgi byk yg keracunan byk yg SDH ditolak",0,1 month ago,@JasmiFc-u1p
Btw presiden itu bisa dipecat lho. Tolong komen siapa yg tau apa syarat dan gimana caranya mecat presiden,0,1 month ago,@vhruliciouz
PROGRAM TOLLLLLLeransi tinggi terhadap anak,0,1 month ago,@mangaguzsh8664
Barang naik mbg tambah dikit,0,1 month ago,@isnanang7563
"Berdasarkan kejadian yang sudah sudah, buat saya MBG jelas program megakorupsi yang dilegalkan. Dibilang manfaat ya manfaat buat dapur, ordal lagi ordal lagi. Apalagi polisi tni kok punya dapur, makin mantap kan. Dilihat dari hal paling remeh pun, orang ga bisa nyetir juga jadi supir mbg, kurang kocak apalagi?",0,1 month ago,@deepestsagara
Rantai korupsi semakin banyak,0,1 month ago,@champkanjenk5925
Saya dukung MBG 100%..🔥🔥 semoga sy di ajak kerja di Sppg 😅😅,0,1 month ago,@alinur9365
Program ini harus di hentikan,0,1 month ago,@Malaba21
Ukaem remuk bikin pusing pedagang kecil,0,1 month ago,@BossCeer10
Beli motor listrik lagi😂😂😂buat apa sedangkan 1 porsi 10 ribu mahalan makanan kucing bobi prabowo,0,1 month ago,@robiobe8672
Tidak bermanfaat hanya buang buang uang negara yang memaksa wajib pajak 😢😢😢,0,1 month ago,@UsmanAlex-rm1ww
Ladang korup51😢😡. Dari atas sm paling bawah. Yg tdk berhak mendapatkan pun dpt mbg yg penting ada 0rd4l,0,1 month ago,@Muh.Raihan-cd8yk
Ini lebih ke bisnis dan ngabisin uang negara 😂,0,1 month ago,@r.m.gchanel9355
"Tidak berman pa at , anak sekolah pintar di didik oleh guru  bukan dari makanan beracun atau mbg , bohong itu rakyat gapercaya itu akal akalan prabowo ,tai lu",0,1 month ago,@TaTang-lc7pm
"Dipaksa ada pas puasa aja janggal banget, jelas banget biar dana nya diambil terus +  pasti pemilu besok bakal diungkit ungkit (padahal gak ada yang  minta waktu itu🤡)",0,1 month ago,@jelipoter
"MBG Habisin duit Triliunan rupiah dari pajak rakyat habis di kloset, lalu perputaran ekonominya dimana...???",0,1 month ago,@Arniltola14
"setuju sih lebih butuh pendidikan daripada MBG ini, gua alhamdulillah ga kekurangan gizi, tapi ga bisa kuliah karena faktor biaya, jadi harus kerja dan biayai keluarga, coba lah pemerintah kasih pendidikan gratis minimal s1 buat yang kurang mampu, maju lah negara ini",0,1 month ago,@wisangdrillian
Prabowo gampang dikadalin orang2 bodoh yg licik ... apalagi sama raja iblis yg lagi sakit kurap ... 😮,0,1 month ago,@saintcibin4442
"Ini tuh emang niat cari cuan,,,proyek jualan nasi,camilan warung n tas belanja. Yg untung dah jls siapa. Jk memang niat ngurangin stunting n gk ada embel2 berbisnis,,, pasti duit bs langsung di kasi ke ortu2/ibu hamil yg kurang mampu sj. Yg terjadi orkay dapet, murid2 SMP/SMA pun dapat, kata gizi n gratisnya pun prankkk.",0,1 month ago,@Ss80824
"Belajar dari isriwil,china ( positifnya),soal dana pendidikan nya utk😂😂😂",0,1 month ago,@zipzikin7084
"Anggaran MBG dan KOPERASI MERAH PUTIH adalah cara halus mengalihkan uang negara untuk membayar BOKIR AMERIKA, CHINA & JEPANG dan BUNGA UTANG NEGARA. 

Agama berkedok pajak, sdh muak drama Konoha.. UUD dan Agama dijadikan meras rakyat.. Begitu banyaknya utang para mantan penguasa, sampai apa saja di pajak kepada rakyat 

✅ Pajak endaraan
✅ Pajak tanah dan bangunan
✅ Pajak bahan pangan
✅ Pajak transaksi jual beli
✅ Pajak BPJS
✅ Pajak penghasilan
✅ Pajak THR
✅ Pajak Bea Cukai
✅ pajak perusahaan
✅ Pajak Zakat😂😂😂

Hidup mencari nafkah hanya untuk ngurusi bayar pajak sampai mati, pada dasarnya Indonesia sudah diambang tumbang, koruptor di para elit partai merajalelah atas nama Rakyat😂😂

Rakyat Siap-siap menghadapi krisis.. Rakyat Siap-siap hadapi kenyataan..
Rakyat Siap-siap menjadi tumbal.. 
Rakyat Siap-siap hadapi permasalahan negara disebabkan oleh Pemimpin dan Wakil Rakyat",0,1 month ago,@nasabadiofficial409
Emang kakek lansia ya gini. Suka kurang benar bikin program,0,1 month ago,@kaesangprastiya982
"Bukan ""Program"" itu tapi ""Proyek""",0,1 month ago,@zabirzabeer2041
"Bubarkan MBG, Kopdes. Berikan lapangan pekerjaan yg layak untuk orang tua. Urusan mkn  anak kembaliak ke ortunya.",0,1 month ago,@babihutan87-o3x4f
"Jutaan rakyat kecil yg usaha jualan disekitar sekolah makin meringis,, jualan sepiiii,,  smentara apbn negara trus digerogoti sma KKN oligarki mbg yg panen duit,,",0,1 month ago,@salahbacakitab
Buset! Skrg minta sumbangan dr masyarakat😅😅😅,0,1 month ago,@ivonhiero1676
MBG....tetap bagus...hambatan banyak...memang hasilnya tidak langsung kelihatan...kami orang desa sederhana...bila gizi anak2 meningkat...kemampuan bersaing anak2 kita di masa depan akan semakin bagus...perut yg kenyang...akan membuat anak punya daya saing yg lebih baik...kalau toh masih ada korupsi...paling tidak yg menikmati hasil korupsi lebih merata...daripada program yg kelihatan bagus...tapi yg bisa korupsi cuma segelintir orang...karena budaya korupsi ini sudah mengakar ke semua sendi di semua sektor di negara ini...semoga anak2 yg menikmati MBG ini dapat memutus mata rantai korupsi kelak di masa depan...,1,1 month ago,@Hinoto1973
"maaf kak kalau menguntungkan petani gak begitu juga ,soal nya hasil produksi petani harga di patok pemerintah ,contoh padi , cabe dll , jadi di sini yang paling di untungkan para pengelola  anggaran itu sendiri . maaf kalo komen saya salah ,tonlong koreksi",0,1 month ago,@Wongoraumum
Project MBG,0,1 month ago,@bocahwringinharjo0183
MBG berjalan setahun saja sudah menjadi bom waktu. Tinggal tunggu aja keruntuhan ekonomi Indonesia nanti di tahun 2029. Dan di tahun tersebut janji politik perbaikan ekonomilah yg akan di gaungkan oleh si PENYEBAB BOM WAKTU ini.,0,1 month ago,@arifinhasibuan8746
